text,label
"['a', 'documentary', 'from', 'the', 'twin', 'hughes', ...]",neg
"['gord', 'brody', '(', 'tom', 'green', ')', 'is', 'an', ...]",neg
"['much', 'ado', 'about', 'nothing', '.', 'ah', ',', ...]",neg
"['another', 'formula', ""'"", 'feel', 'good', ""'"", ...]",neg
"['""', 'love', 'to', 'kill', '""', 'starts', 'off', ...]",neg
"['whether', 'you', 'like', 'the', 'beatles', 'or', ...]",neg
"['warning', ':', 'spoilers', 'are', 'included', 'in', ...]",neg
"['my', 'first', 'press', 'screening', 'of', '1998', ...]",neg
"['ever', 'since', 'wargames', ',', 'the', 'first', ...]",neg
"['if', 'there', ""'"", 's', 'one', 'thing', 'i', 'just', ...]",neg
"['this', 'is', 'not', 'a', 'simple', 'plan', 'about', ...]",neg
"['based', 'on', 'the', '1960s', 'tv', 'series', 'that', ...]",neg
"['in', 'the', 'line', 'of', 'duty', 'is', 'the', ...]",neg
"['*', '*', '*', 'the', 'following', 'review', ...]",neg
"['""', 'practical', 'magic', ',', '""', 'is', 'a', ...]",neg
"['nearly', 'every', 'film', 'tim', 'burton', 'has', ...]",neg
"['annie', 'wilson', '(', 'cate', 'blanchett', ')', ',', ...]",neg
"['note', ':', 'some', 'may', 'consider', 'portions', ...]",neg
"['the', 'sequel', 'to', 'the', 'fugitive', '(', '1993', ...]",neg
"['one', 'of', 'the', 'contributors', 'to', 'the', ...]",neg
"['the', 'happy', 'bastard', ""'"", 's', 'quick', 'movie', ...]",neg
"['forget', 'get', 'carter', '.', 'instead', '.', '.', ...]",neg
"['a', 'remake', 'of', 'the', '1978', 'warren', ...]",neg
"['what', 'would', 'you', 'do', 'if', 'no', 'one', ...]",neg
"['roger', 'ebert', 'asks', 'in', 'his', 'review', 'of', ...]",neg
"['apparantly', 'money', 'talks', '.', '.', '.', 'and', ...]",neg
"['starting', 'with', 'the', 'little', 'mermaid', 'and', ...]",neg
"['plot', ':', 'upon', 'the', 'realization', 'that', ...]",neg
"['when', 'respecting', 'a', 'director', ',', 'you', ...]",neg
"['you', 'don', ""'"", 't', 'need', 'to', 'have', 'seen', ...]",neg
"['""', 'something', 'is', 'fishy', 'in', 'the', 'state', ...]",neg
"['this', 'season', 'needs', 'another', 'serial', ...]",neg
"['plot', ':', 'a', 'separated', ',', 'glamorous', ',', ...]",neg
"['some', 'talented', 'actresses', 'are', 'blessed', ...]",neg
"['susan', 'granger', ""'"", 's', 'review', 'of', '""', ...]",neg
"['plot', ':', 'based', 'on', 'the', 'wildly', ...]",neg
"['i', 'never', 'understood', 'what', 'the', 'clich', ...]",neg
"['about', 'an', 'hour', 'or', 'so', 'into', '""', 'the', ...]",neg
"['""', 'showgirls', '""', 'is', 'the', 'first', 'big', ...]",neg
"['here', ""'"", 's', 'a', 'concept', '--', 'jean', '-', ...]",neg
"['what', 'makes', 'reindeer', 'games', 'even', 'more', ...]",neg
"['(', 'dreamworks', 'skg', ')', 'running', 'time', ':', ...]",neg
"['seen', 'may', '2', ',', '1998', 'at', '3', ':', '40', ...]",neg
"['the', 'only', 'thing', 'worse', 'than', 'watching', ...]",neg
"['my', 'opinion', 'on', 'a', 'film', 'can', 'be', ...]",neg
"['if', 'snake', 'eyes', 'were', 'a', 'dog', ',', 'you', ...]",neg
"['the', 'last', 'line', '(', 'or', 'near', 'to', ...]",neg
"['writers', ':', 'dennis', 'feldman', 'and', ...]",neg
"['deuce', 'bigalow', '(', 'rob', 'schneider', ')', ...]",neg
"['this', 'is', 'your', 'definitive', '""', 'hollywood', ...]",neg
"['dead', '-', 'bang', ',', 'an', 'action', 'thriller', ...]",neg
"['it', 'was', 'once', 'said', 'that', 'in', 'order', ...]",neg
"['""', 'some', 'houses', 'are', 'born', 'bad', ',', '""', ...]",neg
"['play', 'it', 'to', 'the', 'bone', 'is', 'a', 'punch', ...]",neg
"['i', 'have', 'no', 'real', 'tangible', 'proof', 'of', ...]",neg
"['when', 'i', 'originally', 'saw', 'the', 'trailer', ...]",neg
"['jean', '-', 'claude', 'van', 'damme', 'movies', ...]",neg
"['in', '""', 'twilight', ',', '""', 'a', 'ex', '-', ...]",neg
"['there', 'was', 'probably', 'a', 'good', 'reason', ...]",neg
"['tom', 'dicillo', 'directs', 'this', 'superficial', ...]",neg
"['the', 'ads', 'for', '""', 'batman', 'and', 'robin', ...]",neg
"['""', 'gordy', '""', 'is', 'not', 'a', 'movie', ',', ...]",neg
"['senseless', '(', 'r', ')', 'marlon', 'wayans', 'is', ...]",neg
"['a', 'slight', 'romantic', 'comedy', 'with', 'a', ...]",neg
"['if', 'you', ""'"", 're', 'the', 'kind', 'of', 'person', ...]",neg
"['synopsis', ':', 'when', 'a', 'meteorite', ...]",neg
"['deceiver', 'is', 'a', 'plot', 'twist', 'in', ...]",neg
"['this', 'is', 'the', 'kind', 'of', 'movie', 'that', ...]",neg
"['""', 'desperate', 'measures', '""', 'is', 'a', ...]",neg
"['robin', 'williams', 'is', 'a', 'comedic', 'genus', ...]",neg
"['ever', 'watch', 'a', 'very', 'young', 'child', 'try', ...]",neg
"['what', 'are', 'we', 'going', 'to', 'do', 'with', ...]",neg
"['there', 'are', 'some', 'pretty', 'impressive', ...]",neg
"['so', ',', 'it', ""'"", 's', 'thirty', 'years', 'later', ...]",neg
"['except', 'for', 'a', 'few', 'bright', 'moments', ...]",neg
"['maybe', 'this', 'mission', 'should', 'have', 'been', ...]",neg
"['mulholland', 'drive', 'did', 'very', 'well', 'at', ...]",neg
"['ingredients', ':', 'possessed', 'plastic', 'dolls', ...]",neg
"['watching', 'the', 'movie', ',', 'i', 'vowed', 'to', ...]",neg
"['i', 'was', 'going', 'to', 'see', 'ram', 'shrasta', ...]",neg
"['starship', 'troopers', 'is', 'a', 'bad', 'movie', ...]",neg
"['capsule', ':', 'one', 'of', 'the', 'ten', 'worst', ...]",neg
"['hello', 'kids', '.', 'today', 'the', 'movie', ...]",neg
"['deserves', 'recognition', 'for', ':', 'achieving', ...]",neg
"['starring', 'ben', 'stiller', ',', 'elizabeth', ...]",neg
"['the', 'camera', 'zooms', 'in', 'incredibly', 'close', ...]",neg
"['""', 'goodbye', ',', 'lover', '""', 'sat', 'on', 'the', ...]",neg
"['as', 'with', 'any', 'gen', '-', 'x', 'mtv', 'movie', ...]",neg
"['nicolas', 'cage', 'comes', 'up', 'with', 'an', ...]",neg
"['a', 'big', 'house', '.', 'a', 'big', 'director', ',', ...]",neg
"['it', ""'"", 's', 'always', 'a', 'bad', 'sign', 'when', ...]",neg
"['""', 'the', 'animal', '""', 'is', 'a', 'marginally', ...]",neg
"['romeo', 'is', 'bleeding', 'wants', 'to', 'carry', ...]",neg
"['54', 'is', 'dull', ',', 'perfunctory', ',', ...]",neg
"['an', 'experience', 'like', 'baby', 'geniuses', 'can', ...]",neg
"['""', 'houston', '.', 'we', 'have', 'a', 'serious', ...]",neg
"['gun', 'wielding', 'arnold', 'schwarzenegger', 'has', ...]",neg
"['after', 'enduring', 'mariah', 'carey', ""'"", 's', ...]",neg
"['poster', 'boy', 'for', 'co', '-', 'dependency', ...]",neg
"['young', 'einstein', 'is', 'embarrassingly', 'lame', ...]",neg
"['this', 'is', 'the', 'last', 'carry', 'on', 'film', ...]",neg
"['one', 'of', 'the', 'first', 'films', 'of', '1999', ...]",neg
"['susan', 'granger', ""'"", 's', 'review', 'of', '""', ...]",neg
"['susan', 'granger', ""'"", 's', 'review', 'of', '""', ...]",neg
"['this', 'independent', 'film', 'written', 'and', ...]",neg
"['come', 'on', 'hollywood', ',', 'surprise', 'me', '.', ...]",neg
"['capsule', ':', 'the', 'much', 'anticipated', 're', ...]",neg
"['i', 'wish', 'i', 'could', 'accurately', 'describe', ...]",neg
"['jessica', 'lange', 'is', 'one', 'of', 'the', 'most', ...]",neg
"['synopsis', ':', 'sonny', 'koufax', '(', 'adam', ...]",neg
"['certainly', 'no', 'one', 'would', 'rent', 'ed', ...]",neg
"['the', 'second', 'serial', '-', 'killer', 'thriller', ...]",neg
"['this', 'is', 'my', 'first', 'review', 'that', 'i', ...]",neg
"['for', '""', 'original', 'sin', ',', '""', 'the', ...]",neg
"['one', 'would', 'think', 'that', 'david', 'duchovny', ...]",neg
"['""', 'i', 'would', 'appreciate', 'it', 'if', 'you', ...]",neg
"['the', 'rich', 'legacy', 'of', 'cinema', 'has', ...]",neg
"['tim', 'robbins', 'and', 'martin', 'lawernce', 'team', ...]",neg
"['capsule', ':', 'not', 'as', 'bad', 'a', 'sequel', ...]",neg
"['in', '""', 'the', 'astronaut', ""'"", 's', 'wife', ',', ...]",neg
"['for', 'a', 'good', 'ten', 'years', 'or', 'so', ',', ...]",neg
"['libby', 'parsons', '(', 'ashley', 'judd', ')', 'has', ...]",neg
"['as', 'far', 'as', '""', 'mystery', 'men', '""', 'is', ...]",neg
"['the', 'swirling', 'sick', 'feeling', 'hit', 'me', ...]",neg
"['""', 'american', 'pie', '""', 'alums', 'jason', ...]",neg
"['last', 'summer', ',', 'a', 'feature', '-', 'length', ...]",neg
"['at', 'the', 'outset', 'of', 'swordfish', ',', 'john', ...]",neg
"['it', ""'"", 's', 'probably', 'inevitable', 'that', ...]",neg
"['synopsis', ':', 'an', 'aging', 'master', 'art', ...]",neg
"['the', 'first', 'image', 'in', '""', 'final', ...]",neg
"['plot', ':', 'token', 'director', 'alan', 'smithee', ...]",neg
"['plot', ':', 'a', 'rich', 'guy', 'who', 'doesn', ""'"", ...]",neg
"['not', 'a', 'great', 'twelve', 'months', 'for', ...]",neg
"['the', 'stereotypical', 'american', 'male', 'has', ...]",neg
"['first', 'and', 'foremost', 'i', 'think', 'this', ...]",neg
"['it', ""'"", 's', 'amazing', 'how', 'a', 'comedian', ...]",neg
"['according', 'to', 'popular', 'film', 'opinion', ',', ...]",neg
"['by', 'trying', 'to', 'satisfy', 'every', 'kind', ...]",neg
"['shakespeare', 'in', 'love', 'is', 'quite', ...]",neg
"['at', 'times', ',', 'you', ""'"", 'd', 'think', 'edtv', ...]",neg
"['five', 'years', 'after', 'his', 'directorial', ...]",neg
"['synopsis', ':', 'a', 'small', 'town', 'thug', ...]",neg
"['working', 'in', 'the', 'motion', 'picture', ...]",neg
"['there', 'is', 'a', 'scene', 'early', 'in', 'jakob', ...]",neg
"['first', 'troy', 'beyer', 'wrote', 'the', ...]",neg
"['susan', 'granger', ""'"", 's', 'review', 'of', '""', ...]",neg
"['georges', 'polti', 'once', 'wrote', 'a', 'paper', ...]",neg
"['the', 'most', 'popular', 'trend', 'of', 'the', ...]",neg
"['""', 'spice', 'world', '""', 'is', 'just', 'one', ...]",neg
"['i', 'read', 'the', 'new', 'yorker', 'magazine', ...]",neg
"['i', 'should', 'have', 'known', ',', 'damn', 'it', ...]",neg
"['as', 'bad', 'as', '""', 'mimic', '""', 'was', ',', ...]",neg
"['darren', '(', 'jason', 'biggs', ')', ',', 'wayne', ...]",neg
"['""', 'an', 'intimate', ',', 'character', '-', ...]",neg
"['vampire', ""'"", 's', 'is', 'a', 'rude', ',', ...]",neg
"['synopsis', ':', 'blond', 'criminal', 'psychologist', ...]",neg
"['a', 'sensuous', 'romantic', 'comedy', ',', 'about', ...]",neg
"['let', 'me', 'just', 'start', 'this', 'review', 'off', ...]",neg
"['battlefield', 'long', ',', 'boring', 'and', 'just', ...]",neg
"['hey', ',', 'i', ""'"", 've', 'got', 'a', 'great', ...]",neg
"['even', 'the', 'best', 'comic', 'actor', 'is', 'at', ...]",neg
"['movies', 'don', ""'"", 't', 'come', 'much', 'more', ...]",neg
"['synopsis', ':', 'a', 'humorless', 'police', ...]",neg
"['you', 'should', 'have', 'heard', 'the', 'old', ...]",neg
"['the', 'army', 'comedy', 'genre', 'has', 'never', ...]",neg
"['""', 'mercury', 'rising', '""', 'has', 'numerous', ...]",neg
"['i', 'have', 'never', 'been', 'a', '""', 'star', ...]",neg
"['while', 'the', 'summer', 'movie', 'season', ...]",neg
"['it', ""'"", 's', 'not', 'a', 'bad', 'thing', 'to', ...]",neg
"['i', 'suppose', 'it', ""'"", 's', 'unfair', 'to', ...]",neg
"['if', 'there', 'were', 'a', 'subject', 'just', ...]",neg
"['a', 'hotshot', 'lawyer', 'gets', 'an', 'obviously', ...]",neg
"['the', 'spy', 'game', 'is', 'up', '.', 'you', 'can', ...]",neg
"['i', 'have', 'always', 'been', 'a', 'fan', 'of', ...]",neg
"['as', 'you', 'should', 'know', ',', 'this', 'summer', ...]",neg
"['if', 'i', 'were', 'one', 'of', 'those', 'arrogant', ...]",neg
"['for', 'timing', 'reasons', 'having', 'to', 'do', ...]",neg
"['the', 'obvious', 'reason', 'for', 'producing', 'a', ...]",neg
"['i', ""'"", 'm', 'a', 'dedicated', 'fan', 'of', ...]",neg
"['a', 'film', 'that', 'means', 'well', ',', 'but', ...]",neg
"['the', 'tagline', 'for', 'this', 'film', 'is', ':', ...]",neg
"['porter', 'stoddard', '(', 'warren', 'beatty', ')', ...]",neg
"['*', '*', 'the', 'following', 'review', 'contains', ...]",neg
"['there', 'have', 'been', 'bad', 'films', 'in', ...]",neg
"['it', 'would', 'be', 'hard', 'to', 'choose', 'the', ...]",neg
"['the', 'main', 'problem', 'with', 'martin', ...]",neg
"['capsule', ':', 'lesbianism', 'examined', 'in', 'the', ...]",neg
"['the', 'great', 'actor', 'james', 'woods', 'once', ...]",neg
"['the', 'premise', 'of', 'turbulence', 'is', 'i', ""'"", ...]",neg
"['a', 'movie', 'laced', 'with', 'a', 'good', 'blend', ...]",neg
"['if', 'only', 'austin', 'powers', ':', 'the', 'spy', ...]",neg
"['in', 'the', 'series', 'of', 'the', 'erotic', ...]",neg
"['here', 'i', 'sit', 'at', 'my', 'computer', 'about', ...]",neg
"['tv', ""'"", 's', 'buffy', 'finds', 'herself', 'on', ...]",neg
"['the', '13th', 'warrior', 'reeks', 'so', 'badly', ...]",neg
"['i', ""'"", 've', 'heard', 'it', 'called', '""', 'jaws', ...]",neg
"['billy', 'crystal', 'reappears', 'in', 'yet', ...]",neg
"['movies', 'can', 'do', 'the', 'two', 'big', 'es', ...]",neg
"['capsule', ':', 'an', 'insult', '.', 'a', 'stupid', ...]",neg
"['alexander', 'dumas', ""'"", 'the', 'three', ...]",neg
"['in', 'this', 're', '-', 'make', 'of', 'the', '1954', ...]",neg
"['when', 'i', 'first', 'saw', 'the', 'preview', 'for', ...]",neg
"['everyone', 'knows', 'that', 'old', 'rule', ',', ""'"", ...]",neg
"['this', 'movie', 'tries', 'to', 'present', 'itself', ...]",neg
"['it', ""'"", 's', 'tough', 'to', 'be', 'an', 'aspiring', ...]",neg
"['8mm', ',', 'written', 'by', 'seven', 'scribe', ...]",neg
"['your', 'first', 'clue', 'that', 'something', 'isn', ...]",neg
"['carry', 'on', 'at', 'your', 'convenience', 'is', ...]",neg
"['the', 'tagline', 'for', 'this', 'film', 'is', ':', ...]",neg
"['the', 'title', 'is', 'taken', 'from', 'the', ...]",neg
"['tomb', 'raider', '.', 'fun', '?', 'exciting', '?', ...]",neg
"['walt', 'disney', 'studios', 'may', 'have', 'finally', ...]",neg
"['here', ""'"", 's', 'something', 'to', 'chew', 'on', ...]",neg
"['this', 'is', 'an', 'adaptation', 'of', 'h', '.', 'g', ...]",neg
"['eddie', 'murphy', 'has', 'a', 'lot', 'riding', 'on', ...]",neg
"['because', 'no', 'one', 'demanded', 'it', ':', ...]",neg
"['i', ""'"", 'm', 'not', 'sure', 'if', 'silvio', 'horta', ...]",neg
"['drew', 'barrymore', 'is', 'beginning', 'to', ...]",neg
"['""', 'come', 'on', ',', 'silent', 'bob', '!', 'we', ...]",neg
"['let', 'me', 'begin', 'by', 'saying', 'that', 'this', ...]",neg
"['since', 'director', 'steven', 'zaillian', ...]",neg
"['synopsis', ':', 'al', 'simmons', ',', 'top', '-', ...]",neg
"['i', 'can', ""'"", 't', 'recall', 'a', 'previous', ...]",neg
"['wolfgang', 'petersen', ""'"", 's', 'latest', ',', ...]",neg
"['synopsis', ':', 'valerie', ',', 'a', 'high', ...]",neg
"['a', 'highly', 'intelligent', 'life', 'form', 'that', ...]",neg
"['this', 'movie', 'is', 'based', 'off', 'the', ...]",neg
"['studio', '54', 'attracted', 'so', 'many', 'weird', ...]",neg
"['in', 'the', 'past', ',', 'tim', 'burton', 'has', ...]",neg
"['plot', ':', 'a', 'rich', 'psychiatrist', 'with', 'a', ...]",neg
"['i', 'wish', 'more', 'films', 'would', 'take', 'on', ...]",neg
"['the', 'high', 'school', 'comedy', 'seems', 'to', ...]",neg
"['capsule', ':', 'a', 'wild', 'jungle', 'woman', 'and', ...]",neg
"['`', 'the', 'bachelor', ""'"", 'is', 'one', 'of', 'the', ...]",neg
"['topless', 'women', 'talk', 'about', 'their', 'lives', ...]",neg
"['beware', 'of', 'movies', 'with', 'the', 'director', ...]",neg
"['august', 'and', 'september', 'are', 'a', 'wasteland', ...]",neg
"['the', 'event', 'horizon', 'is', 'the', 'boundary', ...]",neg
"['there', 'is', 'a', 'rule', 'when', 'it', 'comes', ...]",neg
"['as', 'a', 'hot', '-', 'shot', 'defense', 'attorney', ...]",neg
"['i', ""'"", 'm', 'not', 'sure', 'i', 'should', 'be', ...]",neg
"['the', 'most', 'interesting', 'thing', 'about', ...]",neg
"['an', 'american', 'werewolf', 'in', 'paris', 'is', ...]",neg
"['depending', 'on', 'who', 'you', 'ask', ',', 'the', ...]",neg
"['wizards', 'is', 'an', 'animated', 'feature', 'that', ...]",neg
"['inspired', 'by', 'the', '1958', 'film', 'house', ...]",neg
"['capsule', ':', 'liebes', 'meets', 'tod', '.', 'this', ...]",neg
"['you', 'know', 'that', 'a', 'movie', 'has', 'issues', ...]",neg
"['adam', 'sandler', 'vehicles', 'are', 'never', ...]",neg
"['deserves', 'recognition', 'for', ':', 'making', ...]",neg
"['any', 'movie', 'that', 'kills', 'emilio', 'estevez', ...]",neg
"['movies', 'based', 'on', 'video', 'games', ',', ...]",neg
"['if', 'you', 'don', ""'"", 't', 'think', 'kevin', ...]",neg
"['if', 'you', 'have', 'ever', 'seen', 'fox', 'tv', ""'"", ...]",neg
"['the', 'happy', 'bastard', ""'"", 's', 'quick', 'movie', ...]",neg
"['old', 'soldiers', 'never', 'die', ',', 'they', ...]",neg
"['""', 'what', 'is', 'this', ',', 'a', 'homicide', 'or', ...]",neg
"['there', ""'"", 's', 'a', 'scene', 'early', 'on', 'in', ...]",neg
"['can', 'you', 'say', '""', 'dated', '""', '?', 'you', ...]",neg
"['""', 'the', '44', 'caliber', 'killer', 'has', ...]",neg
"['wow', ',', 'a', 'film', 'without', 'any', ...]",neg
"['bob', 'the', 'happy', 'bastard', ""'"", 's', 'quickie', ...]",neg
"['the', 'summer', 'of', '00', ""'"", 'wasn', ""'"", 't', ...]",neg
"['what', 'do', 'you', 'get', 'when', 'you', 'rip', '-', ...]",neg
"['wild', 'things', 'is', 'a', 'way', 'to', 'steam', ...]",neg
"['like', 'a', 'good', 'action', 'film', 'should', ',', ...]",neg
"['capsule', ':', 'dumb', 'dud', 'of', 'an', 'entry', ...]",neg
"['capsule', ':', 'gal', 'is', 'a', '50s', '-', 'ish', ...]",neg
"['synopsis', ':', 'back', '-', 'up', 'quarterback', ...]",neg
"['susan', 'granger', ""'"", 's', 'review', 'of', '""', ...]",neg
"['dear', 'god', ',', 'this', 'is', 'a', ...]",neg
"['welcome', 'to', 'your', 'oh', '-', 'so', 'typical', ...]",neg
"['synopsis', ':', 'the', 'president', 'of', 'a', ...]",neg
"['there', 'should', 'be', 'a', 'requirement', 'that', ...]",neg
"['underwater', 'science', 'fiction', 'stays', ...]",neg
"['renowned', 'hong', 'kong', 'action', 'director', ...]",neg
"['upon', 'first', 'viewing', 'of', 'this', 'movie', ...]",neg
"['first', 'impressions', ':', 'critically', ',', 'a', ...]",neg
"['there', 'are', 'movies', 'that', 'pose', 'a', ...]",neg
"['warning', ':', 'may', 'contain', 'slight', 'mild', ...]",neg
"['""', 'my', 'name', 'is', 'jack', 'carter', ',', 'and', ...]",neg
"['you', 'would', 'think', 'that', 'this', 'film', ""'"", ...]",neg
"['robin', 'williams', 'has', 'the', 'rarest', 'of', ...]",neg
"['say', ',', 'tell', 'me', 'if', 'you', ""'"", 've', ...]",neg
"['it', 'should', 'have', 'been', 'a', 'classic', '.', ...]",neg
"['in', 'my', 'review', 'of', '""', 'the', 'spy', 'who', ...]",neg
"['i', 'want', 'to', 'be', 'involved', 'in', 'show', ...]",neg
"['for', 'a', 'movie', 'with', 'such', 'deep', ...]",neg
"['possibly', 'the', 'years', 'the', 'most', ...]",neg
"['""', 'holy', 'man', '""', 'boasts', 'a', 'sweet', ',', ...]",neg
"['it', ""'"", 's', 'actually', 'not', 'so', 'bad', ...]",neg
"['surrounded', 'by', 'hype', ',', 'high', 'hopes', ',', ...]",neg
"['some', 'concepts', 'seem', 'patently', 'hopeless', ...]",neg
"['breakdown', 'is', 'an', 'moderately', 'entertaining', ...]",neg
"['ugh', '.', 'that', 'about', 'sums', 'this', 'movie', ...]",neg
"['ripe', 'with', 'explosions', ',', 'mass', 'death', ...]",neg
"['synopsis', ':', 'a', 'man', 'whose', 'lover', ',', ...]",neg
